,Latitude,Longitude,Total Capacity (MW),Annual,,First Yr Annual (MWh)
3363,55.12,-101.08,0.005,4.25,,6.3
3624,44.48,-76.99,0.005,4.37,,7.02
2321,50.64,-119.95,0.005,4.19,,6.35
852,58.43,-130.02,0.005,3.45,,5.09
3172,47.7,-69.13,0.005,4.1,,6.46
2594,49.28,-117.62,0.005,4.08,,6.37
444,43.74,-81.25,0.005,4.16,,6.65
1543,56.24,-118.6,0.005,4.34,,5.69
248,45.42,-66.14,0.005,3.94,,6.64
1850,45.1,-64.6,0.005,4.18,,6.35
2158,49.63,-115.95,0.005,4.36,,6.62
3797,50.26,-119.27,0.005,4.13,,6.22
862,45.05,-78.08,0.005,3.47,,6.96
2141,49.28,-126.05,0.005,3.43,,5.58
2167,49.75,-77.63,0.005,4.21,,6.39
742,51.7,-109.24,0.005,4.9,,6.44
1986,53.27,-109.98,0.005,4.67,,6.11
160,46.01,-64.1,0.005,4.12,,6.54
353,43.73,-81.42,0.005,4.17,,6.49
667,50.1,-107.64,0.005,4.79,,6.65
3080,48.46,-71.65,0.005,4.19,,6.25
3676,45.6,-75.25,0.005,4.37,,6.78
2174,45.87,-66.44,0.005,4.19,,6.74
2704,44,-77.14,0.005,4.35,,7.16
3989,44.37,-80.86,0.005,4.13,,6.62
3178,47.55,-65.04,0.005,4.22,,6.6
3572,43.37,-80.97,0.005,4.17,,6.76
3038,45.25,-75.35,0.005,4.82,,6.85
2309,52.87,-103.36,0.005,4.62,,6.44
3882,51.83,-99.54,0.005,4.66,,6.52
2168,48.85,-67.53,0.005,4.18,,6.16
2623,51.35,-110.48,0.005,4.92,,6.66
3801,47.77,-53.23,0.005,3.99,,5.53
3228,46.5,-72.2,0.005,4.24,,6.84
3664,55.74,-97.85,0.005,4.24,,5.96
637,46.88,-65.64,0.005,4.28,,6.63
895,51.65,-114.13,0.005,4.65,,6.46
1161,50.13,-56.15,0.005,3.46,,5.78
2873,45.52,-76.23,0.005,4.4,,6.81
1033,50.02,-114.92,0.005,4.52,,6.08
650,45.1,-75.23,0.005,4.37,,6.86
1414,49.25,-65.54,0.005,4.13,,6.3
671,53.53,-105.78,0.005,4.71,,6.15
1648,55.14,-108.1,0.005,4.52,,5.92
2349,51.27,-80.64,0.005,4.19,,6.39
1967,49.45,-123.23,0.005,3.51,,5.65
2787,42.91,-79.19,0.005,4.21,,6.71
2525,44.73,-77.15,0.005,4.36,,6.97
2559,42.14,-82.59,0.005,4.18,,7.02
3380,53.63,-114.65,0.005,4.42,,6.12
1752,42.1,-82.72,0.005,4.42,,6.9
663,53.75,-107.72,0.005,4.7,,6.13
309,52.06,-107.97,0.005,4.89,,6.44
1553,44.39,-80.79,0.005,4.11,,6.8
2279,45.73,-82.16,0.005,4.29,,6.98
