,Actual,Prediction,% Diff
2977,6,6.074444444,0.01225535
2978,6,6.074444444,0.01225535
3465,6,6.096666667,0.015855659
3466,6,6.096666667,0.015855659
3723,6,6.232222222,0.037261544
3724,6,6.232222222,0.037261544
3735,6,6.076666667,0.012616566
3736,6,6.076666667,0.012616566
4019,6,6.133333333,0.02173913
4020,6,6.133333333,0.02173913
885,6.01,6.084444444,0.012235208
886,6.01,6.084444444,0.012235208
2419,6.01,6.378888889,0.057829646
2420,6.01,6.378888889,0.057829646
3597,6.01,6.131111111,0.019753534
3598,6.01,6.131111111,0.019753534
3893,6.01,6.047777778,0.006246555
3894,6.01,6.047777778,0.006246555
1099,6.02,6.053333333,0.005506608
1100,6.02,6.053333333,0.005506608
1231,6.02,6.061111111,0.006782768
1232,6.02,6.061111111,0.006782768
1617,6.02,6.014444444,0.000923702
1618,6.02,6.014444444,0.000923702
3663,6.02,6.168888889,0.024135447
3664,6.02,6.168888889,0.024135447
97,6.03,5.938888889,0.015341441
98,6.03,5.938888889,0.015341441
465,6.03,6.288888889,0.041166078
466,6.03,6.288888889,0.041166078
771,6.03,5.942222222,0.014771877
772,6.03,5.942222222,0.014771877
2809,6.03,6.086666667,0.009309967
2810,6.03,6.086666667,0.009309967
3277,6.03,5.971111111,0.0098623
3278,6.03,5.971111111,0.0098623
3981,6.03,6.28,0.039808917
3982,6.03,6.28,0.039808917
845,6.04,5.923333333,0.019696117
846,6.04,5.923333333,0.019696117
2957,6.04,6.131111111,0.014860457
2958,6.04,6.131111111,0.014860457
3369,6.04,6.098888889,0.009655675
3370,6.04,6.098888889,0.009655675
3583,6.04,5.793333333,0.042577675
3584,6.04,5.793333333,0.042577675
4047,6.04,6.168888889,0.020893372
4048,6.04,6.168888889,0.020893372
371,6.05,6.085555556,0.005842615
372,6.05,6.085555556,0.005842615
2441,6.05,5.992222222,0.009642129
2442,6.05,5.992222222,0.009642129
2557,6.05,6.148888889,0.0160824
2558,6.05,6.148888889,0.0160824
2659,6.05,5.97,0.013400335
2660,6.05,5.97,0.013400335
2851,6.05,6.122222222,0.011796733
2852,6.05,6.122222222,0.011796733
3413,6.05,6.148888889,0.0160824
3414,6.05,6.148888889,0.0160824
3633,6.05,6.074444444,0.004024145
3634,6.05,6.074444444,0.004024145
581,6.06,6.225555556,0.026592897
582,6.06,6.225555556,0.026592897
1621,6.06,6.063333333,0.000549753
1622,6.06,6.063333333,0.000549753
1683,6.06,5.502222222,0.101373183
